t_stamp,x,y,z,x_dot,y_dot,z_dot
8640.000000,45995316755.870287,510192000.000000,0.000000,-542.042145,59050.000000,0.000000
17280.000000,45985950178.236272,1020332051.248349,0.000000,-1084.094634,59043.987413,0.000000
25920.000000,45971900952.695787,1530368204.333773,0.000000,-1626.067771,59031.962163,0.000000
34560.000000,45953170539.761728,2040248524.395159,0.000000,-2167.871867,59013.925933,0.000000
43200.000000,45929761174.418472,2549921106.325799,0.000000,-2709.417285,58989.882168,0.000000
51840.000000,45901675865.292444,3059334089.960235,0.000000,-3250.614482,58959.836069,0.000000
60480.000000,45868918393.437618,3568435675.231883,0.000000,-3791.374057,58923.794592,0.000000
69120.000000,45831493310.737178,4077174137.289628,0.000000,-4331.606794,58881.766442,0.000000
77760.000000,45789405937.922984,4585497841.561681,0.000000,-4871.223705,58833.762069,0.000000
86400.000000,45742662362.214933,5093355258.755013,0.000000,-5410.136077,58779.793657,0.000000
95040.000000,45691269434.582709,5600694979.778831,0.000000,-5948.255513,58719.875118,0.000000
103680.000000,45635234766.632844,6107465730.580624,0.000000,-6485.493976,58654.022084,0.000000
112320.000000,45574566727.124406,6613616386.883466,0.000000,-7021.763832,58582.251887,0.000000
120960.000000,45509274438.117074,7119095988.813395,0.000000,-7556.977894,58504.583557,0.000000
129600.000000,45439367770.755702,7623853755.405859,0.000000,-8091.049463,58421.037800,0.000000
138240.000000,45364857340.695924,8127839098.980379,0.000000,-8623.892368,58331.636988,0.000000
146880.000000,45285754503.175676,8631001639.372797,0.000000,-9155.421009,58236.405138,0.000000
155520.000000,45202071347.737931,9133291218.014665,0.000000,-9685.550398,58135.367898,0.000000
164160.000000,45113820692.610281,9634657911.849564,0.000000,-10214.196195,58028.552527,0.000000
172800.000000,45021016078.747336,10135052047.076390,0.000000,-10741.274753,57915.987873,0.000000
181440.000000,44923671763.542297,10634424212.709859,0.000000,-11266.703149,57797.704356,0.000000
190080.000000,44821802714.214336,11132725273.948796,0.000000,-11790.399228,57673.733940,0.000000
198720.000000,44715424600.878763,11629906385.343012,0.000000,-12312.281636,57544.110115,0.000000
207360.000000,44604553789.307252,12125919003.749872,0.000000,-12832.269858,57408.867871,0.000000
216000.000000,44489207333.385685,12620714901.071968,0.000000,-13350.284250,57268.043672,0.000000
224640.000000,44369402967.277460,13114246176.767594,0.000000,-13866.246077,57121.675428,0.000000
233280.000000,44245159097.300348,13606465270.126075,0.000000,-14380.077544,56969.802472,0.000000
